Date,Simulated Inflow
20120116,92.1
20120117,97.02
20120118,90.51
20120119,85.52
20120120,83.44
20120121,81.72
20120122,79.42
20120123,77.71
20120124,75.7
20120125,73.23
20120126,71.82
20120127,70
20120128,50.11
20120129,41.46
20120130,40.26
20120131,39.47
20120201,36.27
20120202,32.74
20120203,24.6
20120204,22.54
20120205,20.51
20120206,19.65
20120207,19.6
20120208,18.36
20120209,17.43
20120210,17.7
20120211,19.06
20120212,16.47
20120213,13.71
20120214,14.4
20120215,13.36
20120216,13.61
20120217,12.99
20120218,12.64
20120219,11.5
20120220,12
20120221,11.81
20120222,7.577
20120223,8.413
20120224,8.846
20120225,9.32
20120226,8.113
20120227,7.255
20120228,7.965
20120229,6.105
20120301,6.752
20120302,6.624
20120303,8.213
20120304,17.5
20120305,69.32
20120306,76.55
20120307,94.17
20120308,131.3
20120309,3.695
20120310,4.269
20120311,4.09
20120312,3.393
20120313,3.758
20120314,4.935
20120315,3.172
20120316,256.2
20120317,231.1
20120318,198.9
20120319,188.5
20120320,176
20120321,106.6
20120322,47.82
20120323,47.62
20120324,47.99
20120325,47.68
20120326,49.5
20120327,49.14
20120328,48.94
20120329,51.18
20120330,49.37
20120331,46.77
20120401,43.7
20120402,115.5
20120403,177.9
20120404,178
20120405,141.9
20120406,121.1
20120407,162.9
20120408,225.6
20120409,143.3
20120410,107.6
20120411,91.91
20120412,85.14
20120413,75.28
20120414,53.55
20120415,57.46
20120416,59.13
20120417,64.18
20120418,62.58
20120419,65.34
20120420,2.902
20120421,5.306
20120422,4.631
20120423,4.512
20120424,4.1
20120425,5.186
20120426,5.03
20120427,51.06
20120428,53.61
20120429,53.17
20120430,50.67
20120501,52.5
20120502,50.48
20120503,51.59
20120504,48.6
20120505,43.55
20120506,45.43
20120507,45.27
20120508,192
20120509,71.03
20120510,46.13
20120511,4.966
20120512,436.5
20120513,252.8
20120514,179.6
20120515,148.1
20120516,112.8
20120517,82.83
20120518,63.16
20120519,62.54
20120520,47.7
20120521,42.59
20120522,40.2
20120523,32.19
20120524,27.5
20120525,6.87
20120526,5.877
20120527,4.51
20120528,2.86
20120529,3.257
20120530,4.949
20120531,2.211
20120601,3.243
20120602,27.7
20120603,47.02
20120604,47.1
20120605,156
20120606,774.9
20120607,1133
20120608,687.2
20120609,452
20120610,329.4
20120611,232.3
20120612,390.9
20120613,325.1
20120614,543.8
20120615,369.2
20120616,492.3
20120617,734.3
20120618,2195
20120619,2353
20120620,2364
20120621,1480
20120622,1133
20120623,835.2
20120624,663.6
20120625,528.4
20120626,450.5
20120627,437.3
20120628,1569
20120629,2337
20120630,1494
20120701,1049
20120702,948.9
20120703,901.9
20120704,655.5
20120705,541
20120706,459.4
20120707,403.7
20120708,373.1
20120709,370.8
20120710,427.7
20120711,374.7
20120712,387
20120713,355.8
20120714,343.4
20120715,360
20120716,346
20120717,331
20120718,370.9
20120719,350.9
20120720,326.9
20120721,313.5
20120722,513.2
20120723,472.8
20120724,536.7
20120725,438.1
20120726,640.1
20120727,868.7
20120728,731.2
20120729,631.7
20120730,510.3
20120731,443.9
20120801,411.9
20120802,379.4
20120803,355.3
20120804,336.8
20120805,318.3
20120806,776.4
20120807,1367
20120808,1193
20120809,1173
20120810,1086
20120811,1105
20120812,1060
20120813,809.2
20120814,651.6
20120815,553.1
20120816,495.9
20120817,447.4
20120818,489
20120819,465.2
20120820,420.4
20120821,393.4
20120822,373.9
20120823,360.4
20120824,360.6
20120825,398.3
20120826,773.7
20120827,609.4
20120828,638.3
20120829,729.4
20120830,816.5
20120831,814.6
20120901,888.1
20120902,705.9
20120903,665.3
20120904,893.2
20120905,709.2
20120906,602.5
20120907,616.6
20120908,739.1
20120909,714.8
20120910,672.8
20120911,610.2
20120912,640.9
20120913,588.2
20120914,639
20120915,611.5
20120916,648.2
20120917,666.9
20120918,602.5
20120919,643.8
20120920,566.9
20120921,544.1
20120922,531.8
20120923,519.7
20120924,494.7
20120925,931.4
20120926,1254
20120927,1100
20120928,1127
20120929,741.2
20120930,643.3
20121001,1033
20121002,1610
20121003,1810
20121004,1769
20121005,1045
20121006,652.1
20121007,591.8
20121008,446.1
20121009,737.9
20121010,565.4
20121011,505.8
20121012,471.6
20121013,450.4
20121014,434.9
20121015,625.8
20121016,526.8
20121017,473.7
20121018,442.3
20121019,419.1
20121020,423.4
20121021,406.1
20121022,390
20121023,381.4
20121024,366.4
20121025,358.9
20121026,353.2
20121027,344.1
20121028,338.4
20121029,332.3
20121030,328.4
20121031,321
20121101,908.7
20121102,1345
20121103,857.2
20121104,676.4
20121105,1173
20121106,740.5
20121107,547.3
20121108,463.4
20121109,415.7
20121110,382.6
20121111,357.2
20121112,338.3
20121113,326.1
20121114,312.9
20121115,303
20121116,293.4
20121117,288.1
20121118,281.7
20121119,275.9
20121120,270
20121121,265.5
20121122,260.7
20121123,256.7
20121124,252.1
20121125,246.1
20121126,242.1
20121127,237.2
20121128,232.4
20121129,228.6
20121130,224.2
20121201,220.6
20121202,215.3
20121203,211.8
20121204,209.9
20121205,232.6
20121206,211.8
20121207,204.8
20121208,197.7
20121209,193.2
20121210,188.4
20121211,182
20121212,179.3
20121213,175.5
20121214,171.5
20121215,167.9
20121216,164.3
20121217,160.7
20121218,155.8
20121219,152.4
20121220,148
20121221,143
20121222,134.3
20121223,128.7
20121224,125.2
20121225,122.9
20121226,117.7
20121227,113.4
20121228,110.5
20121229,106.3
20121230,110.2
20121231,103.4
20130101,100.1
20130102,98.17
20130103,95.95
20130104,93.29
20130105,89.84
20130106,88.68
20130107,83.15
20130108,83.21
20130109,81.57
20130110,78.87
20130111,77.88
20130112,75.94
20130113,73.95
20130114,70.45
20130115,69.66
20130116,67.92
20130117,66.26
20130118,62.83
20130119,60.32
20130120,44.64
20130121,35.51
20130122,31.61
20130123,29.37
20130124,26.9
20130125,22.93
20130126,20.84
20130127,19.98
20130128,18.53
20130129,18.37
20130130,16.3
20130131,13.38
20130201,12.99
20130202,44.88
20130203,164
20130204,185.4
20130205,451.5
20130206,337.7
20130207,337.9
20130208,238.5
20130209,130.5
20130210,111.1
20130211,200.9
20130212,225
20130213,283.6
20130214,356
20130215,187.5
20130216,151.6
20130217,191.8
20130218,201.8
20130219,273.8
20130220,662.3
20130221,512.3
20130222,699.7
20130223,453.8
20130224,333
20130225,301.1
20130226,301.1
20130227,301.4
20130228,301.1
20130301,301.2
20130302,21.03
20130303,16.24
20130304,14.02
20130305,13.83
20130306,14.95
20130307,16.74
20130308,257.8
20130309,107.7
20130310,48.97
20130311,30.62
20130312,158.7
20130313,58.68
20130314,40.87
20130315,34.15
20130316,32.56
20130317,24.09
20130318,21.6
20130319,26.25
20130320,23.27
20130321,21.89
20130322,21.93
20130323,23.5
20130324,23.04
20130325,22.95
20130326,22
20130327,24.02
20130328,21.5
20130329,23.63
20130330,21.52
20130331,23.78
20130401,21.83
20130402,22.87
20130403,23.15
20130404,23.45
20130405,22.39
20130406,23.37
20130407,21.81
20130408,19.04
20130409,13.78
20130410,16.38
20130411,10.47
20130412,10.44
20130413,10.63
20130414,9.922
20130415,10.03
20130416,11.25
20130417,8.777
20130418,5.665
20130419,7.082
20130420,5.84
20130421,4.8
20130422,4.89
20130423,5.606
20130424,11.46
20130425,12.76
20130426,14.43
20130427,17.6
20130428,16.42
20130429,18.82
20130430,17.35
20130501,16.01
20130502,14.96
20130503,13.71
20130504,11.55
20130505,12.6
20130506,12.73
20130507,12.83
20130508,6.213
20130509,5.989
20130510,5.881
20130511,7.921
20130512,10.69
20130513,9.572
20130514,7.465
20130515,6.368
20130516,7.893
20130517,6.85
20130518,11.48
20130519,25.33
20130520,21.84
20130521,170.5
20130522,106.1
20130523,74.1
20130524,46.49
20130525,32.26
20130526,25.55
20130527,19.72
20130528,15.3
20130529,13.68
20130530,9.618
20130531,23.19
20130601,219.8
20130602,131.5
20130603,145.1
20130604,103.9
20130605,72.54
20130606,58.75
20130607,48.63
20130608,36.81
20130609,29.31
20130610,28.55
20130611,53.63
20130612,143.7
20130613,89.43
20130614,93.38
20130615,115.6
20130616,467.8
20130617,337.2
20130618,364.5
20130619,233.6
20130620,270.2
20130621,185.4
20130622,147.5
20130623,119.1
20130624,113.8
20130625,612.5
20130626,646.1
20130627,490.6
20130628,360.8
20130629,279.5
20130630,200.8
20130701,171.8
20130702,153.6
20130703,578
20130704,1293
20130705,810.3
20130706,586.6
20130707,423.2
20130708,368.9
20130709,286.3
20130710,275.8
20130711,262.1
20130712,250.5
20130713,263.1
20130714,250.6
20130715,236.4
20130716,225.1
20130717,234.1
20130718,241.4
20130719,611.5
20130720,1254
20130721,1083
20130722,781.9
20130723,589
20130724,551.4
20130725,720.5
20130726,666.9
20130727,612.4
20130728,543.5
20130729,578
20130730,462.2
20130731,476.6
20130801,711.5
20130802,1193
20130803,884.1
20130804,841.7
20130805,688.7
20130806,583.3
20130807,543.7
20130808,491.5
20130809,463.7
20130810,440.6
20130811,431.3
20130812,423.2
20130813,417.5
20130814,414.8
20130815,409.4
20130816,406.1
20130817,405.5
20130818,403.6
20130819,407.3
20130820,406
20130821,414.4
20130822,405.5
20130823,399.1
20130824,393.6
20130825,377.2
20130826,391
20130827,387.6
20130828,381.6
20130829,379.4
20130830,379.9
20130831,374.1
20130901,419.2
20130902,452.7
20130903,423.8
20130904,440.1
20130905,415.7
20130906,442.7
20130907,437.6
20130908,517.7
20130909,694.9
20130910,532.1
20130911,481.8
20130912,471.7
20130913,1062
20130914,659.3
20130915,585.7
20130916,552.9
20130917,548.7
20130918,447.1
20130919,796.9
20130920,572.6
20130921,520.8
20130922,459.8
20130923,432.7
20130924,415.8
20130925,451.3
20130926,418.5
20130927,304.2
20130928,374.5
20130929,374.7
20130930,365.7
20131001,487.8
20131002,484.6
20131003,362.3
20131004,681.1
20131005,780.2
20131006,798.8
20131007,951.6
20131008,862.5
20131009,561.2
20131010,394.4
20131011,464.2
20131012,369.4
20131013,424.6
20131014,422.6
20131015,292.2
20131016,293.5
20131017,347.6
20131018,323.7
20131019,365.9
20131020,1099
20131021,695.7
20131022,558
20131023,547.1
20131024,522.1
20131025,437.4
20131026,409.1
20131027,385.9
20131028,360.3
20131029,347
20131030,338.3
20131031,330.6
20131101,413.5
20131102,532.3
20131103,529.1
20131104,418.1
20131105,448.8
20131106,333.4
20131107,335.6
20131108,474.5
20131109,410.7
20131110,330.7
20131111,297
20131112,292.4
20131113,349.5
20131114,297.1
20131115,293.5
20131116,290.1
20131117,287.7
20131118,283.7
20131119,283
20131120,279.1
20131121,276
20131122,273.6
20131123,272.6
20131124,426.3
20131125,346.7
20131126,316.6
20131127,298.1
20131128,284.6
20131129,275
20131130,252
20131201,262.2
20131202,258.7
20131203,255.9
20131204,252.4
20131205,249.6
20131206,229.7
20131207,227.3
20131208,242
20131209,239.4
20131210,237.5
20131211,235
20131212,233.1
20131213,230.6
20131214,228.2
20131215,226.9
20131216,224.9
20131217,222.4
20131218,220.9
20131219,218.7
20131220,216.8
20131221,163.5
20131222,122.7
20131223,120.1
20131224,117.7
20131225,114.8
20131226,112.6
20131227,109.5
20131228,107.5
20131229,105.4
20131230,102.9
20131231,100.8
20140101,98.35
20140102,95.78
20140103,93.58
20140104,91.55
20140105,84.53
20140106,76.39
20140107,74.74
20140108,73.04
20140109,68.62
20140110,66.28
20140111,63.5
20140112,62.45
20140113,61.19
20140114,56.79
20140115,42.9
20140116,32.53
20140117,33.81
20140118,32.45
20140119,31.8
20140120,28.37
20140121,19.55
20140122,18.38
20140123,18
20140124,17.03
20140125,16.26
20140126,15.85
20140127,16.3
20140128,14.46
20140129,14.91
20140130,13.52
20140131,13.17
20140201,11.26
20140202,10.45
20140203,8.941
20140204,9.016
20140205,9.28
20140206,5.776
20140207,4.908
20140208,5.039
20140209,5.841
20140210,6.221
20140211,6.153
20140212,4.552
20140213,4.955
20140214,4.528
20140215,4.921
20140216,55.77
20140217,131.2
20140218,131.5
20140219,65.95
20140220,130.3
20140221,159
20140222,429.9
20140223,18.82
20140224,19.81
20140225,17.69
20140226,10.24
20140227,14.65
20140228,10.17
20140301,14.09
20140302,104.2
20140303,113.5
20140304,208.2
20140305,475.7
20140306,347.3
20140307,293.7
20140308,299.5
20140309,480.1
20140310,245.3
20140311,5.759
20140312,5.145
20140313,4.301
20140314,4.547
20140315,3.58
20140316,3.61
20140317,2.979
20140318,1.821
20140319,2.662
20140320,1.59
20140321,2.477
20140322,2.127
20140323,3.555
20140324,3.91
20140325,2.223
20140326,2.68
20140327,2.24
20140328,1.978
20140329,2.355
20140330,2.192
20140331,1.598
20140401,2.077
20140402,16.76
20140403,12.17
20140404,7.907
20140405,6.155
20140406,4.473
20140407,3.163
20140408,3.336
20140409,7.093
20140410,6.522
20140411,5.31
20140412,5.074
20140413,4.424
20140414,4.946
20140415,43.62
20140416,29.01
20140417,21.22
20140418,17.77
20140419,81.5
20140420,52.93
20140421,38.79
20140422,28.41
20140423,22.18
20140424,17.66
20140425,15.73
20140426,16.25
20140427,16.37
20140428,19.18
20140429,21.95
20140430,21.66
20140501,24.82
20140502,84.25
20140503,497.4
20140504,367.9
20140505,233.1
20140506,177.4
20140507,133.7
20140508,98.42
20140509,1527
20140510,771.6
20140511,513.6
20140512,376.8
20140513,252.9
20140514,191.5
20140515,151
20140516,122.4
20140517,102.2
20140518,120.5
20140519,98.22
20140520,85.36
20140521,76.26
20140522,69.94
20140523,65.39
20140524,62.41
20140525,58.33
20140526,55.6
20140527,59.14
20140528,61.36
20140529,156.3
20140530,123
20140531,106
20140601,167
20140602,123.5
20140603,592.4
20140604,332.3
20140605,239.4
20140606,187.5
20140607,153.4
20140608,129.6
20140609,114.2
20140610,102.8
20140611,95.13
20140612,89.15
20140613,85.14
20140614,81.96
20140615,80.8
20140616,79.61
20140617,78.61
20140618,78.59
20140619,168.5
20140620,441.2
20140621,322.5
20140622,280.4
20140623,204
20140624,169.4
20140625,148.4
20140626,132.8
20140627,109.6
20140628,103.7
20140629,98.56
20140630,95.41
20140701,135.6
20140702,197.4
20140703,151.1
20140704,131.2
20140705,119.8
20140706,151.1
20140707,129.3
20140708,118.5
20140709,111.2
20140710,111.7
20140711,196.2
20140712,164.4
20140713,633.7
20140714,738.8
20140715,858.6
20140716,666.2
20140717,532.7
20140718,451
20140719,714.9
20140720,697.2
20140721,524
20140722,519.8
20140723,514.2
20140724,626.9
20140725,481.1
20140726,410.7
20140727,354
20140728,320.1
20140729,285
20140730,274.5
20140731,377.1
20140801,696.3
20140802,608.4
20140803,515.2
20140804,469.4
20140805,550.6
20140806,653.4
20140807,926.2
20140808,632.5
20140809,511.5
20140810,439.1
20140811,387.1
20140812,442.6
20140813,377.9
20140814,343.8
20140815,326.4
20140816,311.1
20140817,300.5
20140818,293.7
20140819,687.8
20140820,484.1
20140821,424.6
20140822,381.6
20140823,441.5
20140824,381.6
20140825,351.5
20140826,331.9
20140827,318
20140828,355
20140829,411.3
20140830,446
20140831,591.1
20140901,607.5
20140902,765.1
20140903,601.2
20140904,585.1
20140905,521.5
20140906,495.5
20140907,488.3
20140908,455.1
20140909,443.7
20140910,429.1
20140911,417.2
20140912,408
20140913,405.7
20140914,398.9
20140915,394.7
20140916,390.4
20140917,387.8
20140918,381.5
20140919,377.5
20140920,382.8
20140921,378.2
20140922,370.1
20140923,1024
20140924,936.8
20140925,2101
20140926,2477
20140927,1227
20140928,880.6
20140929,2072
20140930,1047
20141001,768.6
20141002,647.8
20141003,580.1
20141004,536.6
20141005,502.8
20141006,810.6
20141007,809.8
20141008,749.9
20141009,694.2
20141010,605.4
20141011,567.4
20141012,528.3
20141013,566.1
20141014,560.1
20141015,547.7
20141016,536.4
20141017,521.2
20141018,503.1
20141019,519
20141020,525.2
20141021,506.8
20141022,492.5
20141023,438.7
20141024,473.6
20141025,533.4
20141026,617.7
20141027,666.6
20141028,689.6
20141029,553.7
20141030,482.6
20141031,456.1
20141101,438.5
20141102,426.6
20141103,416.7
20141104,407.8
20141105,401.1
20141106,395.2
20141107,390.8
20141108,386.4
20141109,382.5
20141110,378.3
20141111,375.4
20141112,371.5
20141113,368.5
20141114,365.1
20141115,279.6
20141116,310.8
20141117,357.8
20141118,362.5
20141119,357.6
20141120,367
20141121,364.1
20141122,319.8
20141123,306.4
20141124,302.6
20141125,337.7
20141126,413.9
20141127,423.3
20141128,315.1
20141129,308.8
20141130,330.7
20141201,313.4
20141202,305.1
20141203,306.1
20141204,292.8
20141205,284.7
20141206,285.4
20141207,280.1
20141208,285.4
20141209,281.5
20141210,276
20141211,448.2
20141212,361.4
20141213,327.7
20141214,319.5
20141215,301.6
20141216,287.9
20141217,259
20141218,252.2
20141219,255.9
20141220,240.4
20141221,229.4
20141222,225.9
20141223,222.8
20141224,220.2
20141225,217.6
20141226,215.1
20141227,215.6
20141228,213.6
20141229,211.3
20141230,210.5
20141231,207.3
20150101,205.2
20150102,161
20150103,157.7
20150104,155.8
20150105,153.6
20150106,151.8
20150107,140.9
20150108,140.3
20150109,138.1
20150110,108.4
20150111,134.3
20150112,133.2
20150113,130.7
20150114,129.6
20150115,127.3
20150116,125.8
20150117,109.6
20150118,80.87
20150119,79.24
20150120,77.01
20150121,70.17
20150122,52.11
20150123,50.47
20150124,50.41
20150125,52.3
20150126,70.01
20150127,67.73
20150128,76.26
20150129,75.85
20150130,74.14
20150131,70.98
20150201,67.7
20150202,67.55
20150203,66.21
20150204,64.02
20150205,64.87
20150206,66.07
20150207,62.1
20150208,62.94
20150209,63.67
20150210,61.66
20150211,61.79
20150212,38.79
20150213,10.98
20150214,7.387
20150215,8.405
20150216,9.022
20150217,9.097
20150218,133.5
20150219,309.1
20150220,216.2
20150221,116
20150222,124.5
20150223,98.35
20150224,86.69
20150225,37.62
20150226,50.97
20150227,58.05
20150228,60.92
20150301,48.66
20150302,35.6
20150303,32.8
20150304,46.67
20150305,49.41
20150306,49.09
20150307,71.5
20150308,65.56
20150309,65.1
20150310,97.75
20150311,165.3
20150312,132.7
20150313,88.31
20150314,74.14
20150315,140.6
20150316,132.5
20150317,155.7
20150318,138.2
20150319,115.8
20150320,104.9
20150321,112.9
20150322,104.5
20150323,99.91
20150324,53.7
20150325,13.81
20150326,13.29
20150327,13.24
20150328,13.77
20150329,10.54
20150330,9.678
20150331,11.57
20150401,11.71
20150402,11.43
20150403,11.56
20150404,12.78
20150405,12.29
20150406,19.84
20150407,21.1
20150408,23.11
20150409,15.65
20150410,11.66
20150411,13.99
20150412,14.55
20150413,101.7
20150414,68.07
20150415,50.93
20150416,41.72
20150417,39.68
20150418,30.07
20150419,27.87
20150420,27.79
20150421,27.57
20150422,36.64
20150423,27.36
20150424,24.14
20150425,34.87
20150426,43.34
20150427,111.6
20150428,69.92
20150429,54.6
20150430,77.94
20150501,73.38
20150502,56.59
20150503,240.2
20150504,142.1
20150505,117.9
20150506,93.47
20150507,78.21
20150508,66.77
20150509,58.64
20150510,51.71
20150511,84.51
20150512,68.82
20150513,269.1
20150514,259.6
20150515,260.2
20150516,252.6
20150517,351.8
20150518,279.7
20150519,211
20150520,402.3
20150521,263.8
20150522,209.2
20150523,177.1
20150524,154.6
20150525,145.7
20150526,133
20150527,111.7
20150528,119.3
20150529,110
20150530,256.6
20150531,180
20150601,210.6
20150602,192
20150603,293.3
20150604,214.8
20150605,294.9
20150606,211.4
20150607,177.4
20150608,157.3
20150609,144.1
20150610,150.4
20150611,137.6
20150612,131.1
20150613,125.6
20150614,125.3
20150615,121.8
20150616,127.7
20150617,123.6
20150618,125.7
20150619,158.8
20150620,332.5
20150621,635.4
20150622,1371
20150623,1128
20150624,1485
20150625,1125
20150626,1788
20150627,1517
20150628,973
20150629,719.1
20150630,565.2
20150701,465.2
20150702,390.6
20150703,345
20150704,303.4
20150705,282.4
20150706,262.1
20150707,247.3
20150708,234.4
20150709,226.4
20150710,219
20150711,211.2
20150712,206.5
20150713,205.9
20150714,204.1
20150715,201.9
20150716,201.1
20150717,199.9
20150718,277.4
20150719,279.9
20150720,407.7
20150721,318
20150722,278.9
20150723,259.4
20150724,247.8
20150725,231.9
20150726,224
20150727,216.5
20150728,212.8
20150729,207.6
20150730,203.8
20150731,201.2
20150801,199.5
20150802,200.1
20150803,197.2
20150804,195.7
20150805,194.2
20150806,196.3
20150807,236.8
20150808,219.7
20150809,210.4
20150810,204
20150811,200
20150812,226.2
20150813,262.2
20150814,250.3
20150815,240.3
20150816,280.6
20150817,284.7
20150818,332.9
20150819,775.7
20150820,467.1
20150821,385.6
20150822,384.1
20150823,577.4
20150824,426.6
20150825,365.6
20150826,330.7
20150827,313.6
20150828,301.1
20150829,285.8
20150830,280.3
20150831,274.8
20150901,267.7
20150902,264.3
20150903,261.5
20150904,261
20150905,316.2
20150906,975.6
20150907,618.2
20150908,914.9
20150909,565.3
20150910,452.6
20150911,442.5
20150912,404.3
20150913,358.2
20150914,338.8
20150915,325.4
20150916,281.3
20150917,267.7
20150918,244.1
20150919,277.3
20150920,319.7
20150921,312.5
20150922,307.6
20150923,288
20150924,277.2
20150925,850.1
20150926,534.1
20150927,415.2
20150928,596.3
20150929,387
20150930,589.6
20151001,487
20151002,400
20151003,353.7
20151004,325.8
20151005,579.2
20151006,744.6
20151007,491.5
20151008,416.7
20151009,425.2
20151010,378.4
20151011,342.3
20151012,387.2
20151013,346.4
20151014,314.9
20151015,325.8
20151016,343.7
20151017,307.7
20151018,291.3
20151019,365.1
20151020,296.5
20151021,266.1
20151022,262.4
20151023,268.1
20151024,304.5
20151025,334.1
20151026,334.4
20151027,371
20151028,409.9
20151029,454.9
20151030,432.9
20151031,350.1
20151101,340.1
20151102,521
20151103,536.2
20151104,917.4
20151105,1303
20151106,846.3
20151107,666.9
20151108,683.8
20151109,718
20151110,759.6
20151111,694.7
20151112,662.9
20151113,663.6
20151114,541.6
20151115,492.2
20151116,420.4
20151117,400.2
20151118,391.1
20151119,332.4
